ROLE,AGE_TYPE,GENDER_TYPE,RACE_TYPE,JOB_CATEGORY_TYPE,LIFE_STAGE_TYPE,CAREER_STAGE_TYPE,SPECIAL_NEEDS_TYPE,EDUCATIONAL_LEVEL_TYPE,LANGUAGE_ABILITIES_TYPE,LITERACY_NUMERACY_PROFICIENCY_TYPE,LEARNING_PREFERENCES_TYPE,PRIOR_KNOWLEDGE_SKILLS_TYPE,RELATIONSHIP_TO_PEERS_TYPE,TENDENCY_TO_COMPETE_OR_COOPERATE_TYPE,SOCIAL_BACKGROUND_TYPE,COMPUTER_LITERACY_TYPE,ATTITUDE_TOWARDS_LEARNING_TYPE,MOTIVATIONAL_LEVEL_TYPE,BARRIERS_TO_LEARNING_INTERESTS,PERSONALITY_TYPE,REASONS_FOR_ATTENDING_COURSE_TYPE
learner,Millennials (25-40),Female,Asian,Entry-level,Late career,Builder,None,Bachelor's degree,None,Intermediate,Visual,Advanced,Collaborative,Competitive,Suburban,Intermediate,Negative,Medium,Resources,Extroverted,Requirement
learner,Generation X (40-55),Other,African American,Mid-level,Mid-career,Builder,None,Bachelor's degree,Basic,Advanced,Auditory,Intermediate,Supportive,Competitive,Urban,Advanced,Negative,Medium,Accessibility,Introverted,Skill development
learner,Millennials (25-40),Female,Caucasian,Entry-level,Retirement,starter,Other,Bachelor's degree,Fluent,None,Visual,Intermediate,Collaborative,Both,Urban,Advanced,Neutral,High,Resources,Introverted,Career advancement
learner,Generation X (40-55),Female,Asian,Entry-level,Early career,starter,None,Bachelor's degree,Proficient,Advanced,Auditory,Advanced,Collaborative,Both,Urban,Basic,Positive,High,Time,Extroverted,Career advancement
learner,Baby Boomers (55-75),Male,Asian,Entry-level,Mid-career,starter,None,Bachelor's degree,Proficient,Intermediate,Auditory,Intermediate,Supportive,Cooperative,Rural,Advanced,Positive,Low,Resources,Introverted,Career advancement
admin,Generation Z (18-24),Female,African American,Mid-level,Late career,Expert,None,Some college,Proficient,None,Reading/Writing,None,Supportive,Cooperative,Urban,Intermediate,Positive,High,Time,Extroverted,Skill development
learner,Generation X (40-55),Female,Asian,Entry-level,Early career,Accelerator,None,Master's degree,Fluent,None,Reading/Writing,Basic,Collaborative,Competitive,Suburban,Advanced,Positive,Medium,Interest,Ambivert,Skill development
learner,Generation X (40-55),Female,Caucasian,Entry-level,Early career,starter,Physical,Bachelor's degree,Proficient,Intermediate,Auditory,None,Collaborative,Neither,Rural,Advanced,Positive,High,Accessibility,Ambivert,Requirement
admin,Generation X (40-55),Other,African American,Entry-level,Mid-career,Accelerator,Other,Bachelor's degree,Fluent,Advanced,Kinesthetic,Intermediate,Collaborative,Both,Urban,Advanced,Negative,Medium,Resources,Extroverted,Career advancement
learner,Millennials (25-40),Female,African American,Senior-level,Mid-career,Accelerator,Mental,Some college,Proficient,Advanced,Kinesthetic,Intermediate,Competitive,Competitive,Urban,Intermediate,Positive,High,Time,Ambivert,Skill development
learner,Millennials (25-40),Male,Caucasian,Mid-level,Retirement,starter,Other,Some college,Proficient,Intermediate,Reading/Writing,Intermediate,Collaborative,Competitive,Suburban,Advanced,Neutral,Medium,Accessibility,Extroverted,Skill development
learner,Generation X (40-55),Male,Asian,Entry-level,Mid-career,Builder,Physical,Bachelor's degree,Proficient,Intermediate,Reading/Writing,Basic,Independent,Competitive,Rural,Advanced,Neutral,High,Accessibility,Extroverted,Skill development
learner,Millennials (25-40),Male,Asian,Senior-level,Mid-career,Builder,None,High school or below,Basic,Intermediate,Kinesthetic,Advanced,Supportive,Cooperative,Rural,Intermediate,Neutral,Medium,Resources,Introverted,Personal interest
admin,Generation X (40-55),Male,African American,Entry-level,Mid-career,Builder,None,Bachelor's degree,Proficient,Intermediate,Auditory,Basic,Collaborative,Both,Urban,Advanced,Positive,Medium,Time,Extroverted,Skill development
learner,Millennials (25-40),Female,Other,Entry-level,Early career,Builder,None,Bachelor's degree,Proficient,Intermediate,Reading/Writing,Intermediate,Collaborative,Competitive,Suburban,Advanced,Positive,Medium,Accessibility,Extroverted,Personal interest
learner,Millennials (25-40),Female,Caucasian,Entry-level,Mid-career,Builder,None,Bachelor's degree,Basic,Basic,Visual,Advanced,Competitive,Both,Suburban,Intermediate,Neutral,Low,Interest,Extroverted,Career advancement
admin,Millennials (25-40),Male,African American,Mid-level,Early career,starter,None,Bachelor's degree,Fluent,Advanced,Reading/Writing,Advanced,Competitive,Both,Urban,Advanced,Neutral,High,Resources,Introverted,Skill development
learner,Generation X (40-55),Male,Caucasian,Senior-level,Early career,Builder,Mental,Some college,Proficient,None,Auditory,Basic,Supportive,Competitive,Rural,Advanced,Positive,High,Interest,Extroverted,Personal interest
admin,Millennials (25-40),Female,Caucasian,Entry-level,Mid-career,Builder,None,High school or below,Fluent,Basic,Visual,Intermediate,Supportive,Competitive,Rural,Intermediate,Positive,High,Resources,Introverted,Personal interest
learner,Generation X (40-55),Female,Caucasian,Senior-level,Early career,starter,None,Bachelor's degree,Fluent,Intermediate,Visual,Basic,Collaborative,Both,Urban,Advanced,Positive,Medium,Accessibility,Extroverted,Skill development
learner,Millennials (25-40),Male,African American,Entry-level,Mid-career,starter,None,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Intermediate,Supportive,Cooperative,Urban,Intermediate,Neutral,Medium,Accessibility,Introverted,Career advancement
learner,Millennials (25-40),Female,Caucasian,Mid-level,Early career,Builder,None,Bachelor's degree,Fluent,Advanced,Auditory,Intermediate,Supportive,Cooperative,Rural,Basic,Neutral,Medium,Time,Introverted,Skill development
learner,Generation X (40-55),Male,Hispanic/Latino,Senior-level,Mid-career,starter,None,Master's degree,Fluent,Basic,Auditory,Intermediate,Supportive,Cooperative,Urban,Advanced,Neutral,High,Interest,Ambivert,Career advancement
learner,Millennials (25-40),Female,Asian,Mid-level,Early career,Expert,Physical,Some college,Basic,Intermediate,Kinesthetic,Intermediate,Supportive,Competitive,Suburban,Intermediate,Positive,Medium,Time,Introverted,Skill development
admin,Generation X (40-55),Female,Caucasian,Mid-level,Early career,starter,None,Some college,Basic,Intermediate,Auditory,Intermediate,Collaborative,Both,Urban,Advanced,Positive,High,Time,Extroverted,Personal interest
learner,Millennials (25-40),Female,Asian,Entry-level,Early career,Expert,None,Bachelor's degree,Fluent,Intermediate,Reading/Writing,Intermediate,Competitive,Both,Rural,Intermediate,Positive,Medium,Resources,Introverted,Skill development
learner,Generation X (40-55),Male,Hispanic/Latino,Entry-level,Late career,starter,None,Some college,Proficient,Advanced,Visual,Intermediate,Collaborative,Both,Suburban,Intermediate,Neutral,Medium,Interest,Extroverted,Skill development
learner,Millennials (25-40),Female,Asian,Executive,Mid-career,Accelerator,Physical,Master's degree,Proficient,Intermediate,Visual,Advanced,Supportive,Competitive,Rural,Intermediate,Positive,Medium,Accessibility,Extroverted,Personal interest
learner,Generation Z (18-24),Male,Hispanic/Latino,Entry-level,Early career,starter,Physical,Bachelor's degree,Proficient,Basic,Visual,Advanced,Competitive,Both,Suburban,Advanced,Positive,High,Time,Introverted,Career advancement
learner,Millennials (25-40),Female,Asian,Senior-level,Mid-career,Builder,None,Master's degree,Fluent,Basic,Auditory,Intermediate,Collaborative,Competitive,Rural,Advanced,Positive,Medium,Time,Ambivert,Career advancement
learner,Generation Z (18-24),Male,Hispanic/Latino,Entry-level,Mid-career,Accelerator,None,Bachelor's degree,Fluent,Intermediate,Auditory,Advanced,Supportive,Cooperative,Suburban,Intermediate,Positive,Medium,Accessibility,Extroverted,Requirement
learner,Baby Boomers (55-75),Male,Other,Mid-level,Early career,Expert,None,Some college,Fluent,Basic,Reading/Writing,Intermediate,Supportive,Cooperative,Urban,Basic,Positive,Low,Time,Introverted,Skill development
learner,Millennials (25-40),Male,Caucasian,Senior-level,Early career,starter,None,Master's degree,Proficient,Basic,Visual,Intermediate,Supportive,Neither,Suburban,Advanced,Positive,Medium,Accessibility,Introverted,Career advancement
admin,Millennials (25-40),Male,African American,Mid-level,Late career,Builder,None,Some college,Proficient,Intermediate,Visual,Basic,Supportive,Both,Suburban,Intermediate,Positive,Medium,Accessibility,Introverted,Career advancement
admin,Millennials (25-40),Male,African American,Mid-level,Mid-career,starter,None,Some college,Proficient,Intermediate,Visual,Advanced,Collaborative,Competitive,Urban,Advanced,Positive,High,Interest,Introverted,Personal interest
learner,Generation X (40-55),Male,African American,Entry-level,Late career,starter,None,Bachelor's degree,Basic,Intermediate,Visual,Intermediate,Competitive,Cooperative,Urban,Intermediate,Neutral,Medium,Resources,Introverted,Personal interest
learner,Millennials (25-40),Male,Caucasian,Senior-level,Late career,Builder,None,Bachelor's degree,Proficient,Basic,Auditory,Advanced,Supportive,Both,Urban,Intermediate,Neutral,High,Accessibility,Extroverted,Career advancement
learner,Generation X (40-55),Female,Asian,Entry-level,Early career,Builder,None,Bachelor's degree,Fluent,Intermediate,Visual,Intermediate,Collaborative,Cooperative,Suburban,Intermediate,Positive,Medium,Accessibility,Introverted,Career advancement
learner,Millennials (25-40),Male,Asian,Entry-level,Retirement,Accelerator,None,Some college,Proficient,Basic,Auditory,Intermediate,Collaborative,Both,Suburban,Advanced,Positive,Low,Accessibility,Introverted,Skill development
learner,Millennials (25-40),Other,Hispanic/Latino,Senior-level,Early career,starter,None,Master's degree,Fluent,Basic,Visual,Intermediate,Supportive,Both,Urban,Advanced,Neutral,Medium,Accessibility,Introverted,Skill development
learner,Generation X (40-55),Male,African American,Mid-level,Late career,Builder,None,Some college,Basic,Intermediate,Visual,Intermediate,Collaborative,Cooperative,Suburban,Intermediate,Positive,Low,Time,Introverted,Career advancement
learner,Generation X (40-55),Male,African American,Entry-level,Early career,Builder,Mental,Master's degree,Proficient,Intermediate,Visual,None,Collaborative,Both,Suburban,Advanced,Negative,Medium,Accessibility,Extroverted,Personal interest
learner,Millennials (25-40),Female,Caucasian,Mid-level,Mid-career,Accelerator,None,High school or below,Fluent,Advanced,Auditory,Intermediate,Collaborative,Both,Urban,Basic,Positive,Medium,Interest,Introverted,Skill development
learner,Generation X (40-55),Female,Caucasian,Senior-level,Mid-career,starter,None,Bachelor's degree,Fluent,Intermediate,Reading/Writing,Intermediate,Collaborative,Competitive,Suburban,Intermediate,Neutral,Medium,Interest,Extroverted,Personal interest
learner,Generation X (40-55),Female,Caucasian,Entry-level,Late career,Accelerator,None,Master's degree,Fluent,Advanced,Auditory,Basic,Independent,Cooperative,Suburban,Basic,Positive,High,Interest,Extroverted,Career advancement
learner,Generation X (40-55),Female,Hispanic/Latino,Mid-level,Early career,Builder,None,Some college,Basic,Intermediate,Kinesthetic,None,Supportive,Both,Suburban,Basic,Positive,High,Resources,Introverted,Career advancement
learner,Baby Boomers (55-75),Male,Caucasian,Entry-level,Mid-career,Expert,None,Doctoral degree,Fluent,Intermediate,Auditory,Advanced,Collaborative,Cooperative,Urban,Advanced,Positive,High,Interest,Extroverted,Career advancement
admin,Millennials (25-40),Female,Asian,Entry-level,Mid-career,Expert,None,Bachelor's degree,Proficient,Intermediate,Auditory,Advanced,Supportive,Both,Urban,Advanced,Neutral,High,Resources,Extroverted,Skill development
learner,Generation X (40-55),Female,Caucasian,Entry-level,Early career,starter,Mental,High school or below,Proficient,Intermediate,Visual,Intermediate,Collaborative,Cooperative,Suburban,Intermediate,Positive,Medium,Time,Introverted,Career advancement
learner,Generation X (40-55),Female,African American,Mid-level,Early career,Builder,Mental,Some college,Fluent,Intermediate,Kinesthetic,Basic,Competitive,Cooperative,Urban,Intermediate,Neutral,High,Accessibility,Introverted,Career advancement
learner,Generation X (40-55),Male,Hispanic/Latino,Entry-level,Mid-career,Builder,None,Some college,Fluent,Intermediate,Reading/Writing,Intermediate,Collaborative,Cooperative,Urban,Basic,Positive,High,Resources,Introverted,Skill development
learner,Millennials (25-40),Female,African American,Entry-level,Mid-career,starter,None,Bachelor's degree,Proficient,None,Auditory,Intermediate,Collaborative,Cooperative,Suburban,Advanced,Negative,High,Time,Ambivert,Career advancement
learner,Millennials (25-40),Female,Caucasian,Entry-level,Mid-career,starter,None,Bachelor's degree,Proficient,Intermediate,Kinesthetic,Intermediate,Supportive,Cooperative,Suburban,Intermediate,Negative,High,Time,Introverted,Skill development
learner,Generation X (40-55),Male,African American,Entry-level,Mid-career,starter,Physical,Bachelor's degree,Fluent,Intermediate,Auditory,Intermediate,Supportive,Cooperative,Rural,Basic,Positive,Medium,Resources,Introverted,Career advancement
learner,Millennials (25-40),Male,Caucasian,Senior-level,Late career,starter,Other,Bachelor's degree,Proficient,Advanced,Auditory,Advanced,Supportive,Competitive,Urban,Intermediate,Positive,Medium,Accessibility,Extroverted,Personal interest
admin,Millennials (25-40),Male,Hispanic/Latino,Senior-level,Mid-career,starter,None,High school or below,Fluent,Intermediate,Auditory,Basic,Independent,Neither,Suburban,None,Neutral,High,Time,Extroverted,Skill development
learner,Millennials (25-40),Male,Caucasian,Entry-level,Early career,starter,None,Bachelor's degree,Basic,Intermediate,Visual,None,Supportive,Competitive,Suburban,Intermediate,Neutral,High,Interest,Introverted,Personal interest
learner,Millennials (25-40),Female,African American,Senior-level,Mid-career,Builder,Mental,Bachelor's degree,Fluent,None,Reading/Writing,Intermediate,Collaborative,Both,Suburban,Basic,Positive,Medium,Accessibility,Introverted,Personal interest
admin,Generation X (40-55),Female,African American,Mid-level,Early career,Expert,None,Doctoral degree,Fluent,Intermediate,Auditory,Advanced,Supportive,Both,Urban,Advanced,Negative,High,Time,Extroverted,Personal interest
learner,Millennials (25-40),Female,Other,Entry-level,Late career,Expert,Other,Some college,Proficient,Intermediate,Auditory,Intermediate,Independent,Both,Urban,Advanced,Positive,High,Resources,Ambivert,Career advancement
learner,Millennials (25-40),Female,Other,Executive,Late career,starter,None,Bachelor's degree,Proficient,Intermediate,Kinesthetic,Intermediate,Competitive,Both,Urban,Intermediate,Neutral,Medium,Resources,Extroverted,Career advancement
learner,Baby Boomers (55-75),Male,Asian,Entry-level,Mid-career,Builder,None,Bachelor's degree,Fluent,Advanced,Auditory,Advanced,Supportive,Both,Suburban,Advanced,Positive,Medium,Accessibility,Extroverted,Requirement
learner,Generation X (40-55),Male,Caucasian,Mid-level,Mid-career,Builder,None,High school or below,Fluent,Basic,Kinesthetic,Intermediate,Collaborative,Cooperative,Urban,Advanced,Positive,Medium,Interest,Introverted,Requirement
learner,Generation X (40-55),Female,Caucasian,Executive,Mid-career,starter,None,Some college,Fluent,Basic,Kinesthetic,Basic,Supportive,Both,Urban,Intermediate,Neutral,Medium,Resources,Extroverted,Requirement
learner,Baby Boomers (55-75),Male,Caucasian,Executive,Early career,Expert,None,Bachelor's degree,Proficient,Basic,Kinesthetic,None,Independent,Both,Suburban,None,Positive,High,Interest,Introverted,Skill development
learner,Generation X (40-55),Male,African American,Mid-level,Mid-career,Accelerator,Mental,High school or below,Fluent,Intermediate,Auditory,None,Supportive,Both,Suburban,Intermediate,Neutral,Medium,Resources,Introverted,Career advancement
learner,Generation X (40-55),Female,African American,Entry-level,Mid-career,starter,None,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Basic,Independent,Both,Suburban,Intermediate,Positive,High,Time,Extroverted,Career advancement
learner,Generation Z (18-24),Female,Other,Senior-level,Retirement,Builder,None,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Intermediate,Supportive,Cooperative,Rural,Advanced,Positive,Medium,Accessibility,Introverted,Personal interest
learner,Generation Z (18-24),Male,Other,Mid-level,Mid-career,Accelerator,None,Bachelor's degree,Proficient,Intermediate,Auditory,Intermediate,Collaborative,Both,Suburban,Basic,Neutral,High,Resources,Extroverted,Requirement
learner,Millennials (25-40),Female,Other,Entry-level,Mid-career,starter,None,Bachelor's degree,Fluent,Intermediate,Reading/Writing,Advanced,Supportive,Both,Suburban,Advanced,Positive,Medium,Accessibility,Introverted,Skill development
learner,Baby Boomers (55-75),Male,African American,Entry-level,Mid-career,Accelerator,None,Some college,Basic,Intermediate,Reading/Writing,Intermediate,Collaborative,Both,Suburban,Basic,Positive,High,Accessibility,Introverted,Personal interest
learner,Generation X (40-55),Male,Caucasian,Mid-level,Early career,Builder,None,Bachelor's degree,Proficient,Intermediate,Visual,Advanced,Competitive,Competitive,Suburban,Advanced,Positive,High,Time,Ambivert,Skill development
admin,Millennials (25-40),Female,Caucasian,Entry-level,Mid-career,Expert,None,Some college,Proficient,Intermediate,Visual,Intermediate,Independent,Cooperative,Rural,Basic,Negative,High,Time,Ambivert,Career advancement
learner,Millennials (25-40),Female,Caucasian,Mid-level,Late career,Builder,Physical,Master's degree,Basic,Intermediate,Visual,Basic,Competitive,Competitive,Suburban,Advanced,Positive,High,Resources,Extroverted,Skill development
learner,Baby Boomers (55-75),Female,African American,Mid-level,Early career,starter,Other,Master's degree,Fluent,Basic,Auditory,Intermediate,Competitive,Competitive,Suburban,Intermediate,Positive,High,Accessibility,Ambivert,Personal interest
learner,Generation X (40-55),Male,Caucasian,Mid-level,Late career,Builder,None,Some college,None,Intermediate,Visual,Advanced,Collaborative,Competitive,Suburban,Basic,Negative,High,Accessibility,Ambivert,Career advancement
learner,Millennials (25-40),Male,Caucasian,Senior-level,Mid-career,starter,None,Some college,Fluent,Basic,Visual,Intermediate,Supportive,Cooperative,Suburban,Basic,Negative,Medium,Time,Ambivert,Personal interest
learner,Millennials (25-40),Female,Caucasian,Entry-level,Early career,Accelerator,Other,Some college,Proficient,Intermediate,Visual,Intermediate,Independent,Both,Urban,Intermediate,Positive,High,Interest,Extroverted,Requirement
learner,Millennials (25-40),Female,Caucasian,Senior-level,Mid-career,Builder,None,High school or below,Proficient,Intermediate,Kinesthetic,Intermediate,Supportive,Cooperative,Rural,Intermediate,Positive,High,Accessibility,Introverted,Personal interest
admin,Baby Boomers (55-75),Female,Caucasian,Mid-level,Mid-career,starter,Mental,Bachelor's degree,Proficient,Advanced,Kinesthetic,Advanced,Collaborative,Competitive,Urban,Advanced,Positive,Low,Accessibility,Introverted,Personal interest
learner,Millennials (25-40),Male,Asian,Mid-level,Early career,starter,None,High school or below,Proficient,Basic,Reading/Writing,Intermediate,Competitive,Both,Suburban,Intermediate,Positive,High,Interest,Introverted,Career advancement
learner,Generation X (40-55),Female,Asian,Entry-level,Mid-career,starter,Physical,Some college,Fluent,Advanced,Reading/Writing,Advanced,Collaborative,Competitive,Urban,Advanced,Neutral,High,Time,Ambivert,Career advancement
admin,Generation X (40-55),Female,Hispanic/Latino,Entry-level,Mid-career,Builder,None,Some college,Fluent,Advanced,Auditory,Intermediate,Competitive,Neither,Urban,Intermediate,Positive,High,Time,Ambivert,Skill development
learner,Generation X (40-55),Male,Caucasian,Entry-level,Mid-career,starter,Other,Bachelor's degree,Fluent,Advanced,Kinesthetic,Intermediate,Collaborative,Competitive,Suburban,Advanced,Neutral,High,Resources,Extroverted,Requirement
learner,Millennials (25-40),Male,Asian,Senior-level,Mid-career,starter,Mental,Bachelor's degree,Fluent,Basic,Auditory,Intermediate,Supportive,Cooperative,Suburban,Intermediate,Positive,Medium,Resources,Extroverted,Skill development
learner,Generation X (40-55),Male,African American,Executive,Late career,starter,None,Bachelor's degree,Fluent,Basic,Kinesthetic,Basic,Collaborative,Competitive,Suburban,None,Neutral,High,Accessibility,Extroverted,Requirement
learner,Millennials (25-40),Male,Asian,Senior-level,Late career,Builder,None,Master's degree,Fluent,Intermediate,Auditory,Intermediate,Collaborative,Neither,Urban,Intermediate,Positive,High,Accessibility,Ambivert,Skill development
learner,Millennials (25-40),Male,Caucasian,Entry-level,Mid-career,starter,None,Some college,Proficient,None,Kinesthetic,Basic,Supportive,Both,Suburban,Advanced,Positive,Medium,Interest,Ambivert,Career advancement
learner,Millennials (25-40),Male,Caucasian,Entry-level,Mid-career,Builder,None,Some college,None,Intermediate,Visual,Intermediate,Supportive,Cooperative,Suburban,Intermediate,Neutral,High,Time,Introverted,Career advancement
learner,Generation X (40-55),Female,Caucasian,Executive,Mid-career,Accelerator,None,Some college,Proficient,Intermediate,Reading/Writing,Advanced,Supportive,Both,Rural,Intermediate,Positive,Medium,Time,Introverted,Career advancement
admin,Generation Z (18-24),Male,Asian,Entry-level,Early career,Builder,Physical,Bachelor's degree,Fluent,Basic,Visual,Basic,Competitive,Both,Suburban,Intermediate,Positive,Medium,Resources,Introverted,Career advancement
learner,Baby Boomers (55-75),Female,Other,Entry-level,Mid-career,starter,None,Bachelor's degree,Proficient,Intermediate,Auditory,Advanced,Collaborative,Competitive,Urban,Advanced,Positive,Medium,Accessibility,Extroverted,Career advancement
admin,Millennials (25-40),Male,Caucasian,Mid-level,Late career,Builder,Mental,Bachelor's degree,Fluent,Intermediate,Reading/Writing,Basic,Collaborative,Cooperative,Suburban,Basic,Positive,Medium,Accessibility,Extroverted,Personal interest
learner,Millennials (25-40),Male,Caucasian,Mid-level,Early career,starter,None,Bachelor's degree,Proficient,Advanced,Kinesthetic,Advanced,Collaborative,Both,Suburban,Intermediate,Positive,Medium,Resources,Introverted,Career advancement
learner,Millennials (25-40),Other,Caucasian,Entry-level,Early career,starter,None,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Intermediate,Collaborative,Competitive,Suburban,Advanced,Positive,Medium,Time,Introverted,Skill development
learner,Generation X (40-55),Female,Caucasian,Entry-level,Early career,Accelerator,None,Some college,Basic,Intermediate,Kinesthetic,Basic,Collaborative,Competitive,Rural,Advanced,Positive,Medium,Accessibility,Extroverted,Skill development
admin,Generation X (40-55),Male,Caucasian,Senior-level,Mid-career,Builder,None,Some college,Fluent,Intermediate,Visual,None,Independent,Neither,Urban,Intermediate,Positive,High,Interest,Introverted,Career advancement
learner,Baby Boomers (55-75),Male,Other,Entry-level,Early career,Accelerator,Mental,Some college,Proficient,Advanced,Auditory,Intermediate,Collaborative,Both,Urban,Intermediate,Positive,Medium,Accessibility,Introverted,Career advancement
learner,Generation X (40-55),Female,Caucasian,Mid-level,Late career,Builder,None,Some college,Basic,Basic,Kinesthetic,None,Supportive,Both,Rural,Intermediate,Positive,Medium,Interest,Introverted,Requirement
admin,Millennials (25-40),Female,African American,Entry-level,Mid-career,starter,None,Bachelor's degree,Proficient,Basic,Auditory,None,Competitive,Competitive,Suburban,Advanced,Positive,High,Interest,Extroverted,Personal interest
learner,Millennials (25-40),Female,Asian,Senior-level,Late career,Builder,None,Master's degree,Fluent,Intermediate,Auditory,None,Independent,Neither,Rural,None,Positive,Low,Interest,Introverted,Skill development
learner,Generation X (40-55),Other,Asian,Entry-level,Mid-career,Builder,None,Bachelor's degree,Basic,Intermediate,Auditory,Intermediate,Collaborative,Both,Urban,Advanced,Positive,High,Accessibility,Extroverted,Skill development
learner,Baby Boomers (55-75),Male,Caucasian,Entry-level,Early career,Expert,Mental,High school or below,Fluent,Basic,Auditory,Intermediate,Supportive,Cooperative,Rural,Intermediate,Positive,Medium,Time,Extroverted,Career advancement
learner,Millennials (25-40),Male,Asian,Entry-level,Early career,Accelerator,None,High school or below,Proficient,Basic,Reading/Writing,Intermediate,Supportive,Cooperative,Rural,Advanced,Negative,High,Interest,Introverted,Skill development
admin,Generation X (40-55),Male,Caucasian,Mid-level,Early career,starter,None,Bachelor's degree,Proficient,None,Reading/Writing,Intermediate,Collaborative,Both,Urban,Intermediate,Neutral,Medium,Accessibility,Introverted,Personal interest
learner,Millennials (25-40),Male,Caucasian,Entry-level,Early career,Expert,None,Some college,None,Intermediate,Visual,Intermediate,Supportive,Cooperative,Suburban,Advanced,Positive,Medium,Resources,Introverted,Requirement
learner,Generation X (40-55),Male,Asian,Mid-level,Mid-career,Accelerator,Other,Master's degree,Fluent,Intermediate,Visual,Intermediate,Supportive,Cooperative,Rural,Basic,Neutral,Medium,Time,Ambivert,Career advancement
learner,Millennials (25-40),Male,Other,Mid-level,Late career,Accelerator,None,Master's degree,Proficient,Advanced,Auditory,Basic,Supportive,Cooperative,Rural,Intermediate,Positive,High,Accessibility,Introverted,Skill development
admin,Baby Boomers (55-75),Female,African American,Mid-level,Mid-career,Expert,Other,Master's degree,Basic,Basic,Reading/Writing,Basic,Collaborative,Both,Rural,Intermediate,Positive,Medium,Interest,Ambivert,Personal interest
learner,Millennials (25-40),Male,Asian,Entry-level,Early career,Builder,None,Some college,Basic,None,Visual,Basic,Competitive,Both,Suburban,Advanced,Positive,Low,Interest,Introverted,Skill development
learner,Millennials (25-40),Other,African American,Mid-level,Late career,Builder,Mental,Some college,Basic,Basic,Kinesthetic,None,Collaborative,Both,Urban,Intermediate,Neutral,Medium,Time,Extroverted,Personal interest
learner,Generation Z (18-24),Male,Other,Executive,Early career,Accelerator,None,Bachelor's degree,Fluent,Advanced,Auditory,Basic,Collaborative,Both,Urban,Basic,Positive,High,Accessibility,Extroverted,Skill development
admin,Generation Z (18-24),Male,Hispanic/Latino,Entry-level,Early career,Builder,None,Some college,Fluent,Basic,Reading/Writing,None,Collaborative,Competitive,Rural,Intermediate,Positive,High,Accessibility,Extroverted,Requirement
learner,Millennials (25-40),Male,Other,Entry-level,Retirement,Builder,Physical,Some college,Fluent,Advanced,Reading/Writing,Basic,Independent,Competitive,Suburban,Advanced,Positive,Medium,Time,Ambivert,Career advancement
learner,Millennials (25-40),Female,Other,Entry-level,Mid-career,Builder,None,Bachelor's degree,Fluent,Basic,Reading/Writing,Basic,Supportive,Neither,Suburban,Intermediate,Positive,Medium,Accessibility,Extroverted,Career advancement
learner,Generation Z (18-24),Male,Asian,Entry-level,Late career,Builder,None,Master's degree,Fluent,Intermediate,Kinesthetic,Intermediate,Independent,Cooperative,Suburban,Intermediate,Positive,Low,Time,Extroverted,Personal interest
learner,Millennials (25-40),Female,African American,Entry-level,Early career,Builder,None,Some college,Basic,Intermediate,Kinesthetic,Intermediate,Collaborative,Competitive,Suburban,Advanced,Positive,Medium,Accessibility,Introverted,Personal interest
learner,Millennials (25-40),Female,Asian,Mid-level,Mid-career,Builder,None,Doctoral degree,Fluent,Basic,Visual,Advanced,Collaborative,Competitive,Urban,Intermediate,Neutral,Medium,Time,Introverted,Career advancement
learner,Generation X (40-55),Other,African American,Entry-level,Early career,Accelerator,None,Some college,None,Advanced,Kinesthetic,Intermediate,Competitive,Cooperative,Suburban,Basic,Negative,High,Interest,Ambivert,Personal interest
learner,Generation X (40-55),Male,Caucasian,Entry-level,Early career,Expert,None,Master's degree,Fluent,Advanced,Reading/Writing,Basic,Competitive,Competitive,Suburban,Advanced,Positive,High,Time,Introverted,Skill development
admin,Baby Boomers (55-75),Male,Asian,Entry-level,Early career,Builder,Other,Bachelor's degree,Fluent,None,Kinesthetic,Advanced,Supportive,Competitive,Suburban,Advanced,Positive,High,Accessibility,Introverted,Personal interest
admin,Millennials (25-40),Female,African American,Senior-level,Mid-career,Expert,Mental,Some college,Fluent,Basic,Reading/Writing,Intermediate,Supportive,Both,Suburban,Basic,Positive,High,Interest,Extroverted,Career advancement
learner,Millennials (25-40),Female,Asian,Entry-level,Mid-career,Accelerator,None,Bachelor's degree,Fluent,Intermediate,Auditory,Basic,Competitive,Neither,Rural,Intermediate,Negative,High,Accessibility,Extroverted,Skill development
learner,Generation X (40-55),Male,Other,Mid-level,Early career,Expert,None,Bachelor's degree,Basic,Intermediate,Reading/Writing,Basic,Supportive,Cooperative,Rural,Intermediate,Positive,High,Time,Introverted,Skill development
learner,Baby Boomers (55-75),Female,Other,Mid-level,Mid-career,Builder,None,Bachelor's degree,Fluent,Intermediate,Visual,Advanced,Collaborative,Cooperative,Rural,Intermediate,Positive,Medium,Accessibility,Extroverted,Skill development
learner,Baby Boomers (55-75),Male,Asian,Entry-level,Mid-career,Accelerator,Physical,Some college,Basic,Advanced,Auditory,Intermediate,Supportive,Cooperative,Rural,Intermediate,Positive,High,Interest,Extroverted,Career advancement
